Unnamed: 0,date,heure,minute,seconde,humidit̩,temperature
608,2019-08-23,12,0,57,72.00,28.56
607,2019-08-23,12,15,56,70.00,28.63
606,2019-08-23,12,30,56,68.00,28.88
605,2019-08-23,12,45,56,69.00,29.38
604,2019-08-23,13,0,56,67.00,30.0
603,2019-08-23,13,15,57,67.00,30.75
602,2019-08-23,13,30,58,NAN,31.5
601,2019-08-23,13,47,38,59.00,30.75
600,2019-08-23,14,2,5,61.00,31.06
599,2019-08-23,14,17,6,64.00,31.06
598,2019-08-23,14,32,9,62.00,31.0
597,2019-08-23,14,47,9,61.00,31.13
596,2019-08-23,15,2,7,63.00,31.0
595,2019-08-23,15,17,8,62.00,31.19
594,2019-08-23,15,32,8,63.00,31.44
593,2019-08-23,15,47,7,62.00,31.75
592,2019-08-23,16,3,18,60.00,31.94
591,2019-08-23,16,18,15,58.00,31.56
590,2019-08-23,16,33,15,NAN,31.75
589,2019-08-23,16,48,15,60.00,31.88
588,2019-08-23,17,3,16,62.00,31.38
587,2019-08-23,17,18,14,62.00,31.19
586,2019-08-23,17,33,16,63.00,31.13
585,2019-08-23,17,48,14,63.00,31.06
