temp	heure
22.69	23:02:41
22.75	22:32:35
22.75	22:02:29
22.81	21:32:23
22.81	21:02:17
22.88	20:32:11
22.94	20:02:05
22.94	19:31:59
23	19:01:53
23.06	18:31:47
23.13	18:01:41
23.19	17:21:33
23.25	16:51:27
23.25	16:21:20
23.31	15:51:14
23.38	15:21:08
23.38	14:51:02
23.31	14:20:56
23.44	13:50:50
23.19	13:20:43
23.06	12:50:37
22.94	12:20:31
22.88	11:00:15
23	10:30:09
22.81	10:00:02
22.69	09:19:54
22.75	08:49:48
22.75	08:19:42
22.81	07:49:36
22.88	07:19:30
22.94	06:49:24
22.88	06:19:18
22.94	05:49:12
22.94	05:19:06
22.94	04:49:00
22.94	04:18:54
22.94	03:48:48
23	03:18:42
22.94	02:48:36
22.94	02:18:30
22.94	01:48:24
23	01:18:18
23	00:48:12
23	00:18:06